kernel_n_factor,kernel_n_epoch,kernel_lr,kernel_reg,update_epoch,update_lr,mae
10,50,0.01,0.1,10,0.1,0.8777303896211021
10,50,0.01,0.1,50,0.0001,0.7724672021475496
10,50,0.01,0.1,50,0.001,0.7798995361446935
10,50,0.01,0.1,50,0.01,0.8489656700383106
10,50,0.01,0.1,50,0.1,0.9018863362481404
10,50,0.01,0.1,100,0.0001,0.7756623005933623
10,50,0.01,0.1,100,0.001,0.7895170261854724
10,50,0.01,0.1,100,0.01,0.8793458841176958
10,50,0.01,0.1,100,0.1,0.9059880371883472
10,50,0.01,0.1,200,0.0001,0.7759907240236186
10,50,0.01,0.1,200,0.001,0.8077455266401795
10,50,0.01,0.1,200,0.01,0.8948405995605392
10,50,0.01,0.1,200,0.1,0.8990322021385345
10,50,0.1,0.0001,10,0.0001,0.8004512228208378
10,50,0.1,0.0001,10,0.001,0.8016986209505177
10,50,0.1,0.0001,10,0.01,0.8135166740678818
10,50,0.1,0.0001,10,0.1,0.915564632466784
10,50,0.1,0.0001,50,0.0001,0.792523209929799
10,50,0.1,0.0001,50,0.001,0.8060020015894681
10,50,0.1,0.0001,50,0.01,0.8862256058657635
10,50,0.1,0.0001,50,0.1,0.9712819475392528
10,50,0.1,0.0001,100,0.0001,0.797269415486575
10,50,0.1,0.0001,100,0.001,0.816877941024497
10,50,0.1,0.0001,100,0.01,0.9240009885203913
10,50,0.1,0.0001,100,0.1,0.9785781364787084
10,50,0.1,0.0001,200,0.0001,0.8025965760058374
10,50,0.1,0.0001,200,0.001,0.83592935228594
10,50,0.1,0.0001,200,0.01,0.9192139662022754
10,50,0.1,0.0001,200,0.1,1.0000486242428157
10,50,0.1,0.001,10,0.0001,0.8048234459202894
10,50,0.1,0.001,10,0.001,0.7973672580745911
10,50,0.1,0.001,10,0.01,0.8114111506669738
10,50,0.1,0.001,10,0.1,0.8995943072602428
10,50,0.1,0.001,50,0.0001,0.7935445848582292
10,50,0.1,0.001,50,0.001,0.8046806893245908
10,50,0.1,0.001,50,0.01,0.8841632307680081
10,50,0.1,0.001,50,0.1,0.9443020648498066
10,50,0.1,0.001,100,0.0001,0.8040663292272638
10,50,0.1,0.001,100,0.001,0.8140833376921726
10,50,0.1,0.001,100,0.01,0.9295403862815032
10,50,0.1,0.001,100,0.1,0.9919521727648226
10,50,0.1,0.001,200,0.0001,0.7971455119007407
10,50,0.1,0.001,200,0.001,0.8346909778035649
10,50,0.1,0.001,200,0.01,0.9514493679708806
10,50,0.1,0.001,200,0.1,0.9984140429855048
10,50,0.1,0.01,10,0.0001,0.8002793834640619
10,50,0.1,0.01,10,0.001,0.7933945390096226
10,50,0.1,0.01,10,0.01,0.8110180984374876
10,50,0.1,0.01,10,0.1,0.9232794701775068
10,50,0.1,0.01,50,0.0001,0.7860120904410066
10,50,0.1,0.01,50,0.001,0.7998269228829411
10,50,0.1,0.01,50,0.01,0.8795025577775167
10,50,0.1,0.01,50,0.1,0.941134224313382
10,50,0.1,0.01,100,0.0001,0.7911982056650044
10,50,0.1,0.01,100,0.001,0.8006490109581437
10,50,0.1,0.01,100,0.01,0.90088379786141
10,50,0.1,0.01,100,0.1,0.9738540223638342
10,50,0.1,0.01,200,0.0001,0.789252200867246
10,50,0.1,0.01,200,0.001,0.8355882910696543
