learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
0.01,RMSprop,64,0.01,500,0.6045807600021362,0.5908341407775879
0.01,RMSprop,64,0.01,500,0.5910522937774658,0.5676594972610474
0.01,RMSprop,64,0.01,500,0.5989152789115906,0.5827549695968628
0.01,RMSprop,64,0.01,500,0.5961684584617615,0.5738692283630371
0.01,RMSprop,64,0.01,500,0.6016680002212524,0.5908203125
0.01,RMSprop,64,0.01,1000,0.6029252409934998,0.5897388458251953
0.01,RMSprop,64,0.01,1000,0.5864511728286743,0.5664616823196411
0.01,RMSprop,64,0.01,1000,0.5990888476371765,0.5823948383331299
0.01,RMSprop,64,0.01,1000,0.5901666879653931,0.5719741582870483
0.01,RMSprop,64,0.01,1000,0.6028736233711243,0.5934826731681824
0.01,RMSprop,64,0.1,500,0.606379508972168,0.5974509716033936
0.01,RMSprop,64,0.1,500,0.5865986347198486,0.5684524774551392
0.01,RMSprop,64,0.1,500,0.5976716876029968,0.5801355242729187
0.01,RMSprop,64,0.1,500,0.5941806435585022,0.5776817798614502
0.01,RMSprop,64,0.1,500,0.5998048782348633,0.5913190245628357
0.01,RMSprop,64,0.1,1000,0.6036884188652039,0.593468964099884
0.01,RMSprop,64,0.1,1000,0.5876851677894592,0.5733307003974915
0.01,RMSprop,64,0.1,1000,0.5989881157875061,0.583757758140564
0.01,RMSprop,64,0.1,1000,0.5914849042892456,0.5773671269416809
0.01,RMSprop,64,0.1,1000,0.6036098003387451,0.5943651795387268
0.01,RMSprop,512,0.01,500,0.6060336232185364,0.596940815448761
0.01,RMSprop,512,0.01,500,0.5910857319831848,0.5808368921279907
0.01,RMSprop,512,0.01,500,0.6023409962654114,0.588721752166748
0.01,RMSprop,512,0.01,500,0.5947077870368958,0.5768553018569946
0.01,RMSprop,512,0.01,500,0.6035318970680237,0.5893545150756836
0.01,RMSprop,512,0.01,1000,0.6051908135414124,0.5973772406578064
0.01,RMSprop,512,0.01,1000,0.6032531261444092,0.5849513411521912
0.01,RMSprop,512,0.01,1000,0.5978450775146484,0.5869814157485962
0.01,RMSprop,512,0.01,1000,0.5922908186912537,0.5740782618522644
0.01,RMSprop,512,0.01,1000,0.6065735816955566,0.6071755290031433
0.01,RMSprop,512,0.1,500,0.6078149676322937,0.5986826419830322
0.01,RMSprop,512,0.1,500,0.5978285670280457,0.5800151228904724
0.01,RMSprop,512,0.1,500,0.6032845377922058,0.594542920589447
0.01,RMSprop,512,0.1,500,0.6001977920532227,0.5894442200660706
0.01,RMSprop,512,0.1,500,0.6016912460327148,0.5924873948097229
